pertanyaan,jawaban,referensi
hi,"halo, ada yang bisa dibantu?",
halo,"halo, ada yang bisa dibantu?",
hai,"halo, ada yang bisa dibantu?",
Bagaimana cara pengajuan KK baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan cetak KTP hilang?,"Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KTP luar daerah?,"Layanan dibuka setiap hari selasa di Disdukcapil Pekanbaru, ambil antrian di loket Konsultasi. Dengan membawa Kartu Keluarga, KTP lama, dan Surat Domisili RT dan RW",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan surat pindah ke luar Pekanbaru?,Pengajuan SKPWNI (Surat Pindah ke luar Kota Pekanbaru) dilakukan secara online pada tautan https://appdukcapil.pekanbaru.go.id/layanan/18-skpwni-keluar-kota-pekanbaru. Akses dibuka pada setiap Senin-Jumat jam 08.00-14.00 WIB,https://disdukcapil.pekanbaru.go.id/page/203-faq
Apa nomor telepon layanan disdukcapil yang dapat saya hubungi?,Anda dapat menghubungi nomor (0761) 35463 atau pada nomor whatsapp 081275196553,https://disdukcapil.pekanbaru.go.id/contact
Dimana alamat disdukcapil pekanbaru?,"Jl. Jenderal Sudirman No. 464 Komplek MPP Pekanbaru Kel. Jadirejo, Kec. Sukajadi, Kota Pekanbaru, Riau 28121",https://disdukcapil.pekanbaru.go.id/contact
kapan disdukcapil pekanbaru buka?,"Senin-Jum'at: 08:30 sd 15.00 WIB, Sabtu, Minggu dan Libur Nasional : Tutup",https://disdukcapil.pekanbaru.go.id/contact
Apa alamat email disdukcapil pekanbaru yang dapat saya hubungi?,kamu dapat menghubungi kami pada email disdukcapilkotapekanbaru@gmail.com,https://disdukcapil.pekanbaru.go.id/contact
Dimana saya dapat mendapatkan berkas formulir yang diperlukan?,Kamu dapat mengakses pada halaman website https://disdukcapil.pekanbaru.go.id/download,https://disdukcapil.pekanbaru.go.id/download
Apa itu Disdukcapil Kota Pekanbaru?,Disdukcapil Kota Pekanbaru adalah Dinas Kependudukan dan Pencatatan Sipil yang menyediakan layanan administrasi kependudukan bagi masyarakat di Kota Pekanbaru.,https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
Pelayanan apa saja yang disediakan oleh Disdukcapil Kota Pekanbaru?,"Disdukcapil Kota Pekanbaru menyediakan layanan seperti: Pengurusan KTP Elektronik, Pengurusan Kartu Keluarga, Akta Kelahiran, Akta Kematian, Akta Pernikahan, Akta Perceraian, Layanan Pindah Datang, dan Penerbitan SKPWNI (Surat Keterangan Pindah Warga Negara Indonesia)",https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
Apakah masyarakat bisa mengurus KTP elektronik di Disdukcapil Kota Pekanbaru?,"Ya, masyarakat dapat mengurus KTP elektronik melalui pelayanan yang disediakan oleh Disdukcapil Kota Pekanbaru.",https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
Bagaimana Disdukcapil Kota Pekanbaru memudahkan masyarakat dalam pelayanannya?,Disdukcapil Kota Pekanbaru memberikan kemudahan dan kecepatan dalam melayani masyarakat melalui pelayanan publik yang efisien dan lengkap.,https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
Apakah Disdukcapil juga melayani pengurusan akta-akta penting?,"Ya, Disdukcapil Kota Pekanbaru melayani pengurusan akta kelahiran, akta kematian, akta pernikahan, dan akta perceraian.",https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
Apa itu SKPWNI yang dilayani oleh Disdukcapil Kota Pekanbaru?,"SKPWNI adalah Surat Keterangan Pindah Warga Negara Indonesia, yang digunakan saat seseorang pindah tempat tinggal ke wilayah lain di Indonesia.",https://disdukcapil.pekanbaru.go.id/page/37-tentang-kami#
