pertanyaan,jawaban,referensi
"hai, hi","halo, ada yang bisa dibantu?",
"permisi, hi","halo, ada yang bisa dibantu?",
"selamat siang, hi","halo, ada yang bisa dibantu?",
"halo, hi","halo, ada yang bisa dibantu?",
hi,"halo, ada yang bisa dibantu?",
"maaf, hi","halo, ada yang bisa dibantu?",
"selamat pagi, hi","halo, ada yang bisa dibantu?",
"selamat sore, hi","halo, ada yang bisa dibantu?",
"selamat sore, halo","halo, ada yang bisa dibantu?",
"permisi, halo","halo, ada yang bisa dibantu?",
"halo, halo","halo, ada yang bisa dibantu?",
halo,"halo, ada yang bisa dibantu?",
"hai, halo","halo, ada yang bisa dibantu?",
"selamat siang, halo","halo, ada yang bisa dibantu?",
"maaf, halo","halo, ada yang bisa dibantu?",
"selamat pagi, halo","halo, ada yang bisa dibantu?",
"selamat siang, hai","halo, ada yang bisa dibantu?",
"selamat pagi, hai","halo, ada yang bisa dibantu?",
"halo, hai","halo, ada yang bisa dibantu?",
"maaf, hai","halo, ada yang bisa dibantu?",
"permisi, hai","halo, ada yang bisa dibantu?",
"hai, hai","halo, ada yang bisa dibantu?",
"selamat sore, hai","halo, ada yang bisa dibantu?",
hai,"halo, ada yang bisa dibantu?",
"permisi, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KK yang baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"maaf, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KK baru bagi yang terbaru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana tata cara pengajuan KK baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana proses pengajuan KK baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KK terbaru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KK baru bagi yang yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat siang, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana langkah pengajuan KK baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat sore, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"hai, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat pagi, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan KK baru bagi yang baru menikah?,"Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"halo, Bagaimana cara pengajuan KK baru bagi yang baru menikah?","Permohonan dapat diajukan online melalui sipenduduk.pekanbaru.go.id dengan mengunggah KK lama, formulir F1.02, F1.06, buku nikah, dan dokumen pendukung",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat pagi, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"halo, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana cara pengajuan cetak KTP hilang?,"Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat sore, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana langkah pengajuan cetak KTP hilang?,"Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana proses pengajuan cetak KTP hilang?,"Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"maaf, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"hai, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"selamat siang, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"permisi, Bagaimana cara pengajuan cetak KTP hilang?","Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
Bagaimana tata cara pengajuan cetak KTP hilang?,"Ajukan secara online via aplikasi Layanan Tunggu. Lampirkan surat kehilangan dari kepolisian, Kartu Keluarga dan Formulir F1.02",https://disdukcapil.pekanbaru.go.id/page/203-faq
"hai, Bagaimana cara pengajuan KTP luar daerah?","Layanan dibuka setiap hari selasa di Disdukcapil Pekanbaru, ambil antrian di loket Konsultasi. Dengan membawa Kartu Keluarga, KTP lama, dan Surat Domisili RT dan RW",https://disdukcapil.pekanbaru.go.id/page/203-faq
